"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
697,"prev_strata",6,100,0.65,0.05,50000,20300697,2836.072,"block_0697.rds","e84970b59d8c4290e1ad1dbe8c4614f7",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
698,"prev_strata",6,100,0.65,0.2,50000,20300698,2985.676,"block_0698.rds","9bf6e90d6aa64dbbe113938926cc4de0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
696,"prev_strata",6,75,0.97,0.95,50000,20300696,5074.33,"block_0696.rds","4535c74be83bfd4feda8c6d8da26c2e9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
700,"prev_strata",6,100,0.65,0.8,50000,20300700,2988.397,"block_0700.rds","35193261d5f1d26338ef9dbf74533246",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
701,"prev_strata",6,100,0.65,0.95,50000,20300701,2912.39,"block_0701.rds","cd62c97900b82e68aeea9fb2bc7c7e52",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
699,"prev_strata",6,100,0.65,0.5,50000,20300699,2957.377,"block_0699.rds","50c51848c3a0cae1e3a0ce635b449e52",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
704,"prev_strata",6,100,0.75,0.5,50000,20300704,2890.492,"block_0704.rds","b3d47b1bd8ea8f96e898b073f9c4cda9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
703,"prev_strata",6,100,0.75,0.2,50000,20300703,3005.357,"block_0703.rds","1f363af3b22a5289b6db5e13eec8e516",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
702,"prev_strata",6,100,0.75,0.05,50000,20300702,2976.779,"block_0702.rds","20063633d7099dc221290b335f291010",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
706,"prev_strata",6,100,0.75,0.95,50000,20300706,13025.389,"block_0706.rds","aec43bed4699d63497e51718e6780a38",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
